File,Mirai,Tsunami,Hajime,Dofloo,Bashlite,Xorddos,Android,Unknown
fe85446cfdc739ea1edc9b986768274e0310b7982c9ca0a60ccf7134377d1c86,-1
fa1da8069e6822835ba9e1d41a642db3aaa2f48d91fbda951ce8d0844c6ddbe2,0.4792688792688793,0.02857142857142857,0.0,0.0,0.17787397787397785,0.01904761904761905,0.06802721088435375,0.2272108843537415
eca2758d7ee561273fd450de1a0235b668f47377102e03ca76e29a98e96ef9ca,0.42988043702329404,0.009523809523809525,0.0,0.0,0.23678622964337248,0.0,0.0380952380952381,0.2857142857142857
eacebf4eb31e6059b55e907af9956735d06bebd265de2cc94268a08c73535fca,0.9619047619047619,0.0,0.0,0.0,0.0380952380952381,0.0,0.0,0.0
e47c380f84f8f437ff331d80912d6c29a9f28f1407593bfd10a5b77ba5177e11,0.12380952380952381,0.0,0.0,0.0,0.0,0.009523809523809525,0.0380952380952381,0.8285714285714286
e3ae42759c99ee653be16f95e3bf8c09516d8d87f4a450c7ff8b0db6e7c7ae1e,0.26666666666666666,0.0,0.0,0.0,0.0380952380952381,0.0,0.43870431893687706,0.25653377630121815
dc3b4c5b1007131f04536a82c44743f06833ca8a0a4dd32b27bfa1c7f83f5fea,0.9904761904761905,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0
d5e5ab33a8571b0622bfb41e40f7eefe1346d71627ee08f38bb177310575a1d4,0.34285714285714286,0.0,0.0,0.01904761904761905,0.0,0.0,0.18095238095238095,0.45714285714285713
ccc663d6fdd6302e34608f88708d30a1c5d9036e683883a3929144146f2d844c,0.23809523809523808,0.0,0.0,0.0,0.0,0.0,0.6208432338452622,0.14106152805949965
ca61d93da52dac230dea17b4c5bb7ac4abca330c529146cd6f68cb9c00ba48e0,0.9809523809523809,0.0,0.0,0.0,0.01904761904761905,0.0,0.0,0.0
bfbf6193cc94b3d32bf25c5e25c562bc43a6b8f235c75d472c2b6b92af184ef7,0.19047619047619047,0.0,0.0,0.0,0.02857142857142857,0.0,0.047619047619047616,0.7333333333333333
9e93d231ce5df9572de3a590a3f5831826fd8e6dd14d715c4684098c5f684d0d,0.49523809523809526,0.0380952380952381,0.0,0.0,0.009523809523809525,0.0,0.0,0.45714285714285713
9e8d291001115324da06792ebdc435055cec953133452f077f9d211a457a8d5a,0.9714285714285714,0.009523809523809525,0.0,0.0,0.01904761904761905,0.0,0.0,0.0
94c0e42f9ee7442d3b8a04da61228cf5fe881a472edb2c511ab55c413cfc71b3,0.9619047619047619,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.009523809523809525
8bd282b8a55a93c7ae5f1a5c69eab185da7d7e82c80f435c4ee049d3086002b7,0.9904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525
803f3fb04446400c04050293479e8ee2adfb8168c903705cd4aa7cf8a6604e8b,0.9238095238095239,0.0,0.0,0.0,0.0,0.0,0.03727891156462585,0.03891156462585034
616b22e262218d6117b0f8a338cef1176aab3e066d5143e632500e7fb7bed2db,-1
550811fd043afcc636293cd5b7765806376dc9234610ec5915f3628a1ed220fb,-1
4fa1a01f361e53d60355ae18cff3b22ffbeb1ae82825d7cfe2fc60c21aa6c91c,0.44761904761904764,0.0,0.0,0.0,0.26666666666666666,0.0,0.12380952380952381,0.1619047619047619
32dadc02004bdaa1f4af89d2e91edc091e3a2ee64ffb234d3623b36e03fc8405,0.4666666666666667,0.17142857142857143,0.0,0.0,0.0,0.0,0.02857142857142857,0.3333333333333333
2e11f1dcab9cd839a3b6eb25497e72ea2b5dedbb7f506d9771912ecc0b9645ab,0.8571428571428571,0.05714285714285714,0.0,0.0,0.0,0.0,0.009523809523809525,0.0761904761904762
2be044dae31859b9e498df6dee103ea67b4316ccb8a46e1726520e957b141de7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188e7bf190b713c53fe749227f27d33fadb59ccf1cefb471ea5c19b4937c5320,0.8666666666666667,0.0,0.0,0.009523809523809525,0.0,0.0,0.0380952380952381,0.08571428571428572
0efb47bf881a6a1f80ea168eef41aa7a27164072c3a6025733bc085b7b03ee13,0.22857142857142856,0.0,0.0,0.0,0.0,0.0,0.6303670433690718,0.14106152805949965
hw_xapp_main_p,0.17142857142857143,0.0,0.0,0.02857142857142857,0.0761904761904762,0.01904761904761905,0.24761904761904763,0.45714285714285713
hw_xapp_main_c,0.17142857142857143,0.0,0.0,0.02857142857142857,0.0761904761904762,0.01904761904761905,0.24761904761904763,0.45714285714285713
bot_p,0.3523809523809524,0.0,0.0,0.0,0.22857142857142856,0.009523809523809525,0.17142857142857143,0.23809523809523808
bot_c,0.45714285714285713,0.08571428571428572,0.0,0.0,0.3142857142857143,0.0,0.01904761904761905,0.12380952380952381
